[INFO] 2026/05/25 - 13:11:51 | H:/AiData/openclaw/workspace/QuantumClaw/service/channel_upstream.go:81 [1] channel upstream model update service registered 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/main.go:68 [main] QuantumClaw v0.0.0 started 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/main.go:91 [main] quantum random number generator enabled (source: https://qrng.anu.edu.au/API/jsonI.php) 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/model/main.go:113 [openMySQL] using MySQL as database 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/model/main.go:152 [InitDB] database migration started 

2026/05/25 13:11:52 [31;1m [35;1mError 1062 (23000): Duplicate entry 'Models' for key 'language_resources.idx_language_resources_l_code'
[0m[33m[13.464ms] [34;1m[rows:0][0m CREATE UNIQUE INDEX `idx_language_resources_l_code` ON `language_resources`(`l_code`)
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/model/main.go:156 [InitDB] database migrated 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/model/language.go:38 [InitLanguageTypes] InitLanguageTypes called 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/model/main.go:169 [InitDB] language types initialized 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/model/language.go:43 [InitChineseLanguageResources] InitChineseLanguageResources called 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/model/main.go:173 [InitDB] Chinese language resources initialized 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/model/language.go:38 [InitLanguageTypes] InitLanguageTypes called 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/common/redis.go:27 [InitRedisClient] REDIS_HOST not set, Redis is not enabled 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/main.go:160 [main] using theme default 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/main.go:187 [main] metric enabled, will disable channel if too much request failed 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/main.go:193 [main] quantum random number generator enabled (ANU QRNG) 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/relay/adaptor/openai/token.go:23 [InitTokenEncoders] initializing token encoders 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/service/subscription_reset.go:27 [StartSubscriptionQuotaResetTask] subscription quota reset task started 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:359 [StartRssService] RSS fetch service started 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/main.go:224 [main] server started on http://localhost:3666 
[INFO] 2026/05/25 - 13:11:52 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:365 [StartRssService] RSS source [机器之心] is disabled, skipping 
[INFO] 2026/05/25 - 13:11:53 | H:/AiData/openclaw/workspace/QuantumClaw/relay/adaptor/openai/token.go:49 [InitTokenEncoders] token encoders initialized 
[INFO] 2026/05/25 - 13:11:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:335 [fetchAndStoreSource] RSS [量子位] fetched 10 articles from "量子位" 
[INFO] 2026/05/25 - 13:11:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:352 [fetchAndStoreSource] RSS [量子位] stored 10 new articles 
[INFO] 2026/05/25 - 13:11:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:335 [fetchAndStoreSource] RSS [36氪 AI] fetched 30 articles from "36氪" 
[INFO] 2026/05/25 - 13:11:53 | H:/AiData/openclaw/workspace/QuantumClaw/service/rss_service.go:352 [fetchAndStoreSource] RSS [36氪 AI] stored 30 new articles 
